"","article_title","n","mins","hrs"
"608","What we know: Strikes on Houthis and strategy behind them",46,230,3.83333333333333
"609","Bafta Film Awards 2024: The nominees in full",45,225,3.75
"610","China fury as Messi skips HK match, plays in Japan",45,225,3.75
"611","Duchess of York 'shock' at skin cancer diagnosis",45,225,3.75
"612","Liberia moves from youngest elected leader to oldest",45,225,3.75
"613","Sheryl Sandberg to step down from Meta board",45,225,3.75
"614","Antarctica mysteries to be mapped by robot plane",44,220,3.66666666666667
"615","How TB Joshua’s whistle-blowing daughter took on 'Daddy'",44,220,3.66666666666667
"616","In-N-Out Burger closes California store over crime",44,220,3.66666666666667
"617","Jon Stewart makes part-time return to Daily Show",44,220,3.66666666666667
"618","US school shooter's mum weeps as she goes on trial",44,220,3.66666666666667
"619","Who is Bushra Bibi, the faith healer wife of Imran Khan?",44,220,3.66666666666667
"620","YouTube terminates TB Joshua’s official channel",44,220,3.66666666666667
"621","Bowen: Strikes could undermine US aim to contain war",43,215,3.58333333333333
"622","Female farmer killed as car hits French protesters",43,215,3.58333333333333
"623","Greta Thunberg warned before arrest, court told",43,215,3.58333333333333
"624","Man jailed for 50 years for defaming Thai monarchy",43,215,3.58333333333333
"625","Pakistan cuts mobile internet as country votes",43,215,3.58333333333333
"626","A political hand grenade disguised as a report",42,210,3.5
"627","Deadly blasts in Pakistan day before election",42,210,3.5
"628","German woman goes on trial for lookalike murder",42,210,3.5
"629","Injured, hungry and alone - the Gazan children orphaned by war",42,210,3.5
"630","Spectacular arches, caves as monster iceberg decays",42,210,3.5
"631","Stricken Japanese Moon mission landed on its nose",42,210,3.5
"632","Those dying of hunger are idiots - Uganda minister",42,210,3.5
"633","UK had no choice but to strike Houthis - Cameron",42,210,3.5
"634","US official says Boeing jets won't fly until safe",42,210,3.5
"635","Dad's Army star Ian Lavender dies aged 77",41,205,3.41666666666667
"636","Disney boss bets on Fortnite and Taylor Swift",41,205,3.41666666666667
